Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,953
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,9604
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,1567319
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,363
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,332
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,40659
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,29678
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,7435
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,138135
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,77910
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,10111073
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,70037
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,1467693
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,10189724
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,107599
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,94
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,5662491.000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,322
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,3050
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,1780423
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,20425
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,55897
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,17198105
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,60381921
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,6915009
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,2994676
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,543259
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,7838860
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,997651.0000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,711034
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,11815058
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,4388690
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,19486756
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,856862
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,10728403
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,103702
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,958189
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,66157288
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,11924589
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,14933144
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,3900544.0000000005
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,7912051
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,29314245
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,22135860
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,13879506
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,754068
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,388868.00000000006
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,1368687
