Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,5249
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,94541
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,214447
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,13154462
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,749262
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,342334
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,1573572
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,2140387
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,65476
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,2852
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,27003.999999999996
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,39
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,80
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,236.00000000000003
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,1067159
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,696427
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,28533
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,25811.000000000004
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,31047133
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,115198
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,2284099
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,21
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,3021
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,1187
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,67
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,884
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,37.00000000000001
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,2110
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,63812.00000000001
2,"Vegetable Products",210,"Cereals",21002,"Rye",2021,3726981.0000000005
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,15
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,10
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,33362
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,10
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,81.99999999999999
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,11897
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,649
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,2080469.0000000002
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,6024926
