Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,4992768
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,27537588
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,1296661
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,12102949
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,9784149
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,15337576
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,86178467
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,70768046
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,27191298
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,20326782
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,39107
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,9883789
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,49297858
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,6229956
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,465723
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,1616723
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,448528
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,35501422
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,155121254
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,146779555
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,8298938
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,67526961
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,135205219
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,72334898
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,53204399
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,43167123
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,2914400
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,8850399
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,52313067
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,17958786
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,155128
