Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,31516
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,136441
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,10030
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,93215.00000000001
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,499.99999999999994
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,264324
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,47
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,215006
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,22580
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,679748
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,12880834
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,21613
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,123104
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,60080
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,2665
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,800
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,420
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,918
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,31708
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,171
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,4710.000000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,27813
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,110613.00000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,5158
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,504410
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,1017.0000000000001
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,19
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,82523
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,674
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,37030
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,44780
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,36075
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,13350
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,184384.00000000003
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,13281
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,27801
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,47871
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,431450
