Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,744215
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,131016
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,839640
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,8342
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,6518497
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,165098
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,7395216
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,258773.00000000003
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,131326
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,9067033
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,196160
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,4703
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,4793
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,14970
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,102611
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,752848.0000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,29165792.000000004
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,42146318
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,19728850
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,128936.00000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,1102348
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,3550416
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,1986439
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,1156292
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,674882
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,1535
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,88999
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,200166
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,342
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,61263.00000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,22404
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,9821
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,89024
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,10779
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,734167
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,21729.000000000004
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,6483
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,75024
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,343037
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,3410.0000000000005
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,1357750
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,1129112
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,186993
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,5474740
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,2345420
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,221702
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,38067
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,117824
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,12308.000000000002
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,2179962.0000000005
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,409567
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,36.00000000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,241357
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,3977569
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,629841
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,1985
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,1820648
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,285611
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,208900
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,1478113.0000000002
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,466149
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,3007392
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,162907
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,49558
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,16680
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,246215
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,1755
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,47246660
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,73507
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,494455
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,292422
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,2647
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,101192
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,65627
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,18069
2,"Vegetable Products",211,"Products of the milling industry",21109,"Wheat Gluten",2021,21947
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,1
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,191040
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",2021,17812
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,559868
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,93570
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,20644
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,432559
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,331219
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21214,"Forage Crops",2021,47840
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,9070
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,95640
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,620
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31502,"Bovine, Sheep, and Goat Fat",2021,542866
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31503,"Lard stearin and oils",2021,2227
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,78366
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31510,"Olive Oil",2021,88872.00000000001
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,303468
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,2099
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,101820
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31514,"Rapeseed Oil",2021,53855
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,113617
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",2021,49232.00000000001
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,265770
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",2021,10273410
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",2021,119667
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31521,"Vegetable waxes and beeswax",2021,115.99999999999999
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,744044
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,38016900
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,188223
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,500310
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,1055446
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,45686
4,"Foodstuffs",417,"Sugars & confectioneries",41703,"Molasses",2021,903
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,11130628
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41801,"Cocoa Beans",2021,13644
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41805,"Cocoa Powder",2021,6557
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,1096769
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,1295790
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,14773339
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,210008
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,19248215
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",2021,145008
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42002,"Processed Tomatoes",2021,3876027
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42003,"Processed Mushrooms",2021,198623
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42004,"Other Frozen Vegetables",2021,259538
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,341117
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42006,"Sugar Preserved Foods",2021,144
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",2021,357063
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,7931432
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,24914746
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,215895
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,4759388
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",2021,224824
4,"Foodstuffs",421,"Miscellaneous edible preparations",42105,"Ice Cream",2021,18799010
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,4797019
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,273715
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,29671432
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,18021
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42207,"Alcohol > 80% ABV",2021,8122
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,24011
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42209,"Vinegar",2021,4901
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42301,"Animal Meal and Pellets",2021,84090
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",2021,149061
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,1773759
4,"Foodstuffs",424,"Tobacco & substitutes",42403,"Processed Tobacco",2021,1216890
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,109968
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52502,"Iron Pyrites",2021,52165
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52503,"Sulphur",2021,179930116
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52504,"Graphite",2021,22950
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",2021,28632
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52507,"Kaolin",2021,42739
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52508,"Clays",2021,44003
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52510,"Calcium Phosphates",2021,496
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52511,"Barium Sulphate",2021,111554
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52512,"Siliceous Fossil Meals",2021,73136.00000000001
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52513,"Pumice",2021,441377
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52515,"Marble, Travertine and Alabaster",2021,134534
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52516,"Granite",2021,19347
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,37256
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52519,"Magnesium Carbonate",2021,8668
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52520,"Gypsum",2021,7405
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52521,"Limestone",2021,1034
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52522,"Quicklime",2021,103076
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52523,"Cement",2021,75538
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52525,"Mica",2021,5256
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52526,"Soapstone",2021,1937
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52529,"Feldspar",2021,11573
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",2021,3084
5,"Mineral Products",526,"Ores, slag and ash",52607,"Lead Ore",2021,122885
5,"Mineral Products",526,"Ores, slag and ash",52611,"Tungsten Ore",2021,1008345
5,"Mineral Products",526,"Ores, slag and ash",52613,"Molybdenum Ore",2021,63218
5,"Mineral Products",526,"Ores, slag and ash",52615,"Niobium, Tantalum, Vanadium and Zirconium Ore",2021,4577189
5,"Mineral Products",526,"Ores, slag and ash",52619,"Slag Dross",2021,1265005
5,"Mineral Products",526,"Ores, slag and ash",52620,"Non-Iron and Steel Slag, Ash and Residues",2021,2461879
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52701,"Coal Briquettes",2021,1937
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52704,"Coke",2021,3292
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52705,"Non-Petroleum Gas",2021,570
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52706,"Tar",2021,10047
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52707,"Coal Tar Oil",2021,14292263
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52708,"Pitch Coke",2021,7169
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",2021,45754391868
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,9339166691
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2021,2932910511
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52712,"Petroleum Jelly",2021,192
