Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,8566
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,664
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,102
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,10447
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,222203
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,60
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,24128
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,1664
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,570398
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,37118
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,2511379
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,2039
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,189999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,16483
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,1271
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,411
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,95166
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,3958.9999999999995
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,14718
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,22793.000000000004
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,15845.999999999998
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,131
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,2351
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,5161.000000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,600
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,356.00000000000006
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,952.0000000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,660
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,2206
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,1065
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,2677
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,264159
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,77534
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,1024
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,198
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,2006
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,291.00000000000006
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,1180
