Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,573799
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,67182295
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,50614
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,16938754
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,180792
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,326345
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,28324978
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,5683561
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,822553.9999999999
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,7995317
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,2070
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,298071
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,39516557
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,177808
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,145404
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,633064
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,56766
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,416154
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,11785951
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,41327328
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,6442118
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,668703
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,1583.0000000000002
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,16889962
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,5825887
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,16007633
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,746381
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,19544497.999999996
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,11181104
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,10236335
