Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,1905453
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,3753276.0000000005
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,2805712
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,15957
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,36709
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,8706912
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,8318.999999999998
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,1249
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,27859
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,1782650
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,27519
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,8010302
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,20130561
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,10702297
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,244433
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,70040675
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,135714
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,597870
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,1260944
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,311699
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,75708
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,124849
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,1294602
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,933502.9999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,1293238
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,4491275
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,85719
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,22598
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,739853.0000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,735811
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,203937
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,63518129
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,30358633
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,32594640
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,17720260.999999996
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,30188174
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,6032770
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,41445252
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,8501505
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,26339348
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,337967
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,222770091
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,30072390
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,87530612
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,13687.999999999998
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,1925293
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,1890910
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,3378296
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,141280
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,38872446
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,1322260884
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,40785199
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,6822957
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,256701
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,268706176
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,180799
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,437322
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,39912536
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,63551860.00000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,682193
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,333553
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,270598
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,1002439414
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,266086.99999999994
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,114
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,11057278
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,67140
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,954543
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,95081
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,619708705
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,141959
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,1528986
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,5080
