Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,205653.00000000003
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,107596
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,64257120
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,2771
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,1042
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,535
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,31631
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,573
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,26002
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,8660941
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,57110240
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,15058173
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,376982
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,148543
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,41707
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,247977.99999999997
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,3373301
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,37
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,118122.99999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,28236
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,1866806
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,69188.00000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,16240
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,19022
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,226484
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,7873
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,1561
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,13510132
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,273827
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,10874
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,3150
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,5853
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,7061
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,5677
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,1541.9999999999998
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,5722
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,2440
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,57.99999999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,153111
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,144305
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,387.99999999999994
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,8871
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,245769
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,56272.00000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,1350
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,191431
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,8302
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,6048507
