Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,24155
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,28412
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,494
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,599
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,22851
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,7887
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,7206
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,4454
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,880.9999999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,305
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,2907
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,510
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,2803
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,2416
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,1047
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,2
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,135
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,462
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,450
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,459
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,403
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,952.0000000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,160
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,1687
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,885
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,165
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,768
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,1157
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,159
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,2368.0000000000005
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,734
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,1067
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,2
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,104
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,19
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,155
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,1918057
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,70665.99999999999
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,128
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,25
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,3791.0000000000005
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,532159
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,613
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,318
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,962
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,139
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,106
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,1179
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,548
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,237
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,3714
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,69
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,37134
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42004,"Other Frozen Vegetables",2021,1524
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,68
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",2021,702.0000000000001
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,29
