Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,4965403
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,35589387
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,5937
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,5825325
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,5472252
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,76106915
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,671650594
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,41061697
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,108149090.99999999
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,491683952
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,371022
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,42777666
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,598874
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,72232
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,923414414
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,1640096331
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,3544486850
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,59600656
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,87246174
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,76211740
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,487279
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,54860401
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,3557489
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,16363500
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,7066451.000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,30809061
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,4520
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,13326499.999999998
