Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,31178.000000000004
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,3936473
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,87769596.00000001
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,4002414
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,249839.00000000003
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,40
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,32546177
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,1161998
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,65
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,1014
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,610968
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,954.0000000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,584253
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,4405365
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,13218
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,795.9999999999999
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,4588
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,159
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,15
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,22.000000000000004
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,35619
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,150167
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,14590096
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,4901
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,164660543
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,642823
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,45634378
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,69824
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,1148779
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,9234
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,49
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,116484
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,6
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,10272457
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,6522
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,114199
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,26266
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,138
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,116699
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,17463
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,552
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,163.99999999999997
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,21056599
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,3256
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",2021,8189555
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,65069239
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,893
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,273736
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,1700
