Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,670476
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,4321.000000000001
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,1835.9999999999998
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,11245885
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,80747
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,73703
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,651432
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,115
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,190
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,161
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,824.0000000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,57443.99999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,30906
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,30261
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,16
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,5019
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,18934
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,35089
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,3025
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,44
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,8
