Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,75246
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,3687583
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,2090393
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,4717440
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,290437328
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,313696820
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,4788253
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,14189
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,1371
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,12841961
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,335861192
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,92316
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,354061
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,3001053
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,1982546
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,813522.9999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,22734657
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,1416285
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,126864193.99999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,55900
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,1320994
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,179913883
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,548001268
