Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,39868
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,15140
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,232
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,573
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,309
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,9306
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,142
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,761
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,58235.99999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,19393240
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,5530273
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,201.99999999999997
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,106661
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,5716201.000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,121
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,97387
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,40
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,56581
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,4811
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,3812
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,6461
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,71
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,40.99999999999999
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,62470
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,987
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,1940
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,316
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,1776.9999999999998
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,6768
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,251
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,250
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,67
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,2551
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,43
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,4046.9999999999995
