Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,116178
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,7302045
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,5055013.999999999
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,68408.99999999999
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,50582
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,157
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,2115888
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,842983
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,71585
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,3531722.0000000005
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,17719443
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,38889
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,3244340
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,93282.00000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,13706
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,2828223
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,5061688
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,269881.99999999994
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,167639
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,34835609
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,391236.99999999994
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,186126
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,3382224
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,6928
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,179823
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,145587
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,73800
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,20368738
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,5411
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,3575608
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,4896
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,570
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,973
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,88.00000000000001
