Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,100403
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,17089075
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,400
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,1350640
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,360433055
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,369993474
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,117758
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,244729
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,35127941
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,520362.00000000006
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,182290
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,112920
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,28642708
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,28416892
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,6228090
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,478089
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,234428731
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,12757810
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,4383232
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,20992357
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,9619354
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,166091
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,207024
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,171627271
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,312110
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,1442734
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,2885551
