Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,173147
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,8741
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,7496
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,13531182
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,703650
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,189624
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,74204223
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,2810816076
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,5987916
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,84681369
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,160236679
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,7211040
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,124467
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,6.999999999999999
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,16871135
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,5797172
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,54672045
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,398502397
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,267665447
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,68385797
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,5319756708
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,649972558
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,12337209
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,129485570
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,2953039
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,1151616
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,103406443
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,35544891
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,33022924
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,30198954
