Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,56092
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,1215.0000000000002
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,906272
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,2539
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,1796975.9999999998
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,2694353
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,125667
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,34
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,708821
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,329990
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,638
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,1413
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,6
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,19617.999999999996
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,50769
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,367556
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,1081987
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,123750
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,9692
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,50842
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,337785
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,5562
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,53263.00000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,4
