Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,1826
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,55854927
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,1400641.0000000002
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,413471
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,7782473
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,723
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,662852
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,308
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,30890
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,489562
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,8913301
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,3333136
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,82646966
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,176855027
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,439712032
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,556831215
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,121642791
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,1540354199
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,490429425
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,8404194
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,16073687
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,8726821
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,324249
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,4107415
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,8567487
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,856023
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,54312
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,2146243
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,638829254
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,1432526
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,382
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,139004
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,4880365
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,2451759
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,553110
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,16277490
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,5389586
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,17771631
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,2368256
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,16477049
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,6662278
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,4995229
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,3601624
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,299630
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,7436568
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,10170488
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,626785
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,107107
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,15739.000000000002
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,7001688
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,7285586
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,24962571
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,221071
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,11037876
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,37067661
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,24984211
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,638150333
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,310624088
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,5556060
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,93564825
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,1904945
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,408317
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,131059
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,25067
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,33466
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,5139402
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,6617853
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,31193
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,13344939
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,454.99999999999994
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,883937923
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,112486333
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,2383
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,196008236
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,52274128
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,193109169
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,130533863
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,308095765
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,1717263
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,65674772
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,623170
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,4291
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,272
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,6014062
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,4542221
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",2021,115414
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,353939
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,26724849
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,958197
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,594811
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,5113386
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,857307.0000000001
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,28719251
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,149487
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,162474247
2,"Vegetable Products",211,"Products of the milling industry",21109,"Wheat Gluten",2021,874321
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,980267
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,5734793
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21203,"Copra",2021,47394292
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",2021,4679
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21205,"Rapeseed",2021,26316
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,12158
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,17191707
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,64241
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,16795554
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21210,"Hops",2021,1441
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,126744448
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,10041297
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21213,"Cereal Straws",2021,67321
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21214,"Forage Crops",2021,14084
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,78179894
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,128203328
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",2021,7537067
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,295764650
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31501,"Pig and Poultry Fat",2021,155396
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31502,"Bovine, Sheep, and Goat Fat",2021,171491
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish Oil",2021,2444946
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31505,"Wool Grease",2021,28240
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31506,"Other Animal Fats",2021,218
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31507,"Soybean Oil",2021,73094031
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",2021,113706.99999999999
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,723677
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31510,"Olive Oil",2021,1735374
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,26818849474
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,63540452
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,3009554687
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31514,"Rapeseed Oil",2021,4546873
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,22541431
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",2021,1216119012
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,1344137201
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",2021,1099630575
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",2021,5861715886
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31520,"Glycerol",2021,1031441708
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31521,"Vegetable waxes and beeswax",2021,14701737
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31522,"Fat and Oil Residues",2021,21561843
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,263538
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,1654817
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41603,"Animal Extracts",2021,1130991
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,495033923
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,1521390484
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,192282814
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,102460161
4,"Foodstuffs",417,"Sugars & confectioneries",41703,"Molasses",2021,116319863
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,140125861
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41801,"Cocoa Beans",2021,99881755
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41802,"Cocoa Shells",2021,991317
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41803,"Cocoa Paste",2021,160489047
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41804,"Cocoa Butter",2021,812238902
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41805,"Cocoa Powder",2021,263617361
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,84180837
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,120287177
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,326492464
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41903,"Tapioca",2021,7367003
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,51386440
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,858262994
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",2021,853715.0000000001
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42002,"Processed Tomatoes",2021,57433
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42003,"Processed Mushrooms",2021,4524584
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42004,"Other Frozen Vegetables",2021,3388552
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,7228779
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42006,"Sugar Preserved Foods",2021,317588
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",2021,12344856
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,617941924
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,160793688
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,612449169
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",2021,5091330
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,228108280
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",2021,3675398
4,"Foodstuffs",421,"Miscellaneous edible preparations",42105,"Ice Cream",2021,38116811
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,832024149
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,17513309
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,74263164
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,5790403
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,155224
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42205,"Vermouth",2021,9035
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42206,"Other Fermented Beverages",2021,66030
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42207,"Alcohol > 80% ABV",2021,77989736
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42208,"Hard Liquor",2021,1749913
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42209,"Vinegar",2021,429401
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42301,"Animal Meal and Pellets",2021,6101095
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42302,"Bran",2021,151491637
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42303,"Starch Residue",2021,2971542
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42304,"Soybean Meal",2021,6052527
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42305,"Ground Nut Meal",2021,636
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42306,"Other Vegetable Residues",2021,1514325162
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42307,"Wine Lees",2021,155
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42308,"Other Vegetable Residues and Waste",2021,17579480
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",2021,163084747
4,"Foodstuffs",424,"Tobacco & substitutes",42401,"Raw Tobacco",2021,262257443
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,1201460608
4,"Foodstuffs",424,"Tobacco & substitutes",42403,"Processed Tobacco",2021,99108878
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,252762
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52502,"Iron Pyrites",2021,591
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52503,"Sulphur",2021,11196
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52504,"Graphite",2021,62
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",2021,37480654
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52506,"Quartz",2021,1082475
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52507,"Kaolin",2021,15509398
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52508,"Clays",2021,3181399
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52509,"Chalk",2021,23394
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52510,"Calcium Phosphates",2021,162370
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52511,"Barium Sulphate",2021,167381
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52512,"Siliceous Fossil Meals",2021,155983
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52513,"Pumice",2021,12720790
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52514,"Slate",2021,67965
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52515,"Marble, Travertine and Alabaster",2021,3778357
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52516,"Granite",2021,879440
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,87491365.99999999
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52518,"Dolomite",2021,45917
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52519,"Magnesium Carbonate",2021,111838.00000000001
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52520,"Gypsum",2021,376744
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52521,"Limestone",2021,21061
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52522,"Quicklime",2021,3784806.0000000005
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52523,"Cement",2021,517676318
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52525,"Mica",2021,14990.000000000002
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52526,"Soapstone",2021,1143116
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52529,"Feldspar",2021,964
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",2021,13660859
5,"Mineral Products",526,"Ores, slag and ash",52601,"Iron Ore",2021,144590373
5,"Mineral Products",526,"Ores, slag and ash",52602,"Manganese Ore",2021,886511
5,"Mineral Products",526,"Ores, slag and ash",52603,"Copper Ore",2021,5752058697
5,"Mineral Products",526,"Ores, slag and ash",52604,"Nickel Ore",2021,33789435
5,"Mineral Products",526,"Ores, slag and ash",52606,"Aluminium Ore",2021,841543652.9999999
5,"Mineral Products",526,"Ores, slag and ash",52607,"Lead Ore",2021,21032998
5,"Mineral Products",526,"Ores, slag and ash",52608,"Zinc Ore",2021,39190507
5,"Mineral Products",526,"Ores, slag and ash",52609,"Tin Ores",2021,2278538
5,"Mineral Products",526,"Ores, slag and ash",52610,"Chromium Ore",2021,1
5,"Mineral Products",526,"Ores, slag and ash",52611,"Tungsten Ore",2021,431600
5,"Mineral Products",526,"Ores, slag and ash",52613,"Molybdenum Ore",2021,22200
5,"Mineral Products",526,"Ores, slag and ash",52614,"Titanium Ore",2021,29418363
