Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,15338
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,4578759
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,3329950
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,653890
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,36805383
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,7042
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,15293654
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,46079066
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,989.0000000000001
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,8219421
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,16620179
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,10461211
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,6581644
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,27151781
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,6869176
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,421995897
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,2234495570
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,226659834
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,2147816928
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,291932838
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,12384108
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,75599050
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,13917186
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,1713642
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,2656106.9999999995
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,4207436
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,4402812
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,2914840
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,107521447
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,4255333
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,789706
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,16367
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,80168462
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,412362.00000000006
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,22020
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,4472010
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,53780862
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,343644
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,24390181
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,61509565
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,2896362
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,1697972
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,719841
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,5699665
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,35084306
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,2507682
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,17505397
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,64141
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,3474411
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,41819279
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,61019680
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,13490396
