Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,208.00000000000003
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,521841
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,363855
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,717763
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,3954018
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,1647620
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,386692
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,104843755
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,2075589
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,100644
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,39363
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,103959
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,26.000000000000004
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,552
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,739.0000000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,545206
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,282622
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,105
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,47
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,28.999999999999996
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,141950
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,191282
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,14661
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,293345
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,1677209
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,28112
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,215924
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,52508
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,1639
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,2708025
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,10312
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,407.00000000000006
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,18857
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,2200656
