Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,774047
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,283165
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,1097770
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,9063210
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,1779530
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,14811351
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,125183482
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,1274523
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,9469868
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,4945195
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,87690
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,44361.99999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,353735
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,37186052
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,2903580
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,37735836
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,3122319
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,5835275.000000001
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,54455
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,40965865
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,44973299.00000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,8697801
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,15055812.999999998
