Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,2025423
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,44150411
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,11705886
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,298495
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,1500084
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,304902
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,48041709
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,5666105
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,13948794
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,1093037
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,65734
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,1967290
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,38523940
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,649507
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,1151623
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,2311612
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,183971
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,11018955
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,27399820
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,43111911
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,21824758
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,8180286
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,2382084
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,170156282
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,7584743
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,13323451
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,22807271
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,2149817
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,102857437
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,29142636
