Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,337046.00000000006
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,260
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,245
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,101718
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,5212453
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,2843924
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,227510
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,9245282
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,1321
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,4321913
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,43233886
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,645
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,501442.00000000006
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,62622090
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,32887582
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,817049099
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,316302095
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,22511431
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,37015754
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,190320647
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,14808762
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,15731387
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,2528637
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,15082294
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,156567
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,7901629
