Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,48694.00000000001
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,53
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,25
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,1821
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,408
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,222.00000000000003
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,6226
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,765
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,238.00000000000003
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,2070.9999999999995
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,384
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,25154
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,448721
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,53
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,512
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,11653
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,2845
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,9609
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,10198
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,11804
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,22.000000000000004
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,2769614
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,111690.99999999999
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,4713
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,98
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,109
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,414
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,20
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,254266.00000000003
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,352.00000000000006
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,39845
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,6878
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,3659
