Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,44510
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,131285614.99999999
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,297912
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,385696.99999999994
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,1608
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,1494260.0000000002
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,1643916
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,9602499
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,593
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,8617
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,38464751
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,59151807
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,4640894
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,2346688
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,187711349
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,670256
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,38527
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,379397
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,273536
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,42888.99999999999
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,10495.999999999998
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,34670
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,5003330
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,23780
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,2790
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,44.00000000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,587.0000000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,4090
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,26101
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,231
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,34113353
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,1036962.9999999999
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,190
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,1044
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,479435
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,77491
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,94
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,40
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,122808.00000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,9788
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,13590935
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,17533
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,4480
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,188
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,1309
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,124
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,33050
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,34759715
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",2021,1
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,865591
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,183
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,233391.00000000003
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,293
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,7015
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,2
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,4129159.0000000005
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,18.000000000000004
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,2172658
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,197650
