Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,727669327.9999999
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,58388423
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,394955814
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,549718
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,3589605
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,38087116
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,34786
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,20487635
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,154734666
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,23135349
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,1897650
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,10387455
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,641658306
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,49462211
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,724847
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,17500024
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,691028644
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,206306125
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,1773447021
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,3374611088
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,253607050
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,732612754
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,1783103445
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,23650513
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,235125529
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,24072083
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,2905374
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,9016792
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,4065839
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,150023120
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,33401418
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,214481768
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,41318812
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,6562358
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,85805329
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,817529613
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,615503076
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,8637482
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,6729783
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,14072760
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,5552025
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,302225615
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,12515372
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,349518088
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,157140364
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,105350630
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,121107240
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,103156090
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,2391780891
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,650109535
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,87318586
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,394394414
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,23760691
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,43411695
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,1148170686
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,1307773195
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,150767343
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,1599565305
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,332411541
