Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,27282
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,389070
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,41686
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,2975557
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,3944441
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,10049580
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,5846466
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,5705277
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,889987
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,81883142
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,42129
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,2176524
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,306826
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,2534.0000000000005
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,2000056
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,4555905
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,1225113
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,4280661
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,17160835
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,8111563
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,4306666
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,4589114
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,433266.99999999994
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,746108
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,309438
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,375421
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,1411840
