Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,64
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,12746
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,9459
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,174814
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,10997
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,45442
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,368227
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,5233
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,786669
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,6611059
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,41785247
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,31617604
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,2098901
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,2672381
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,346284105
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,4153754
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,4630407
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,32873
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,2687966
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,49568
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,501157
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,37136
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,456671.00000000006
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,131726
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,254367
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,44613
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,237029
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,9365
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,4937407
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,48655
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,12596
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,88964
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,16321765
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,96662
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,58060
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,3405441.0000000005
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,209530.99999999997
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,327665
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,633422
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,3419082
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,21524565
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,5069793
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,83515
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,10328
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,288697
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,744174
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,603267
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,510974.99999999994
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,671976
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,4267230
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,2236472
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,4182
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,325187
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,2739
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,70530
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,7430486
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,528114
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,5262
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,588111
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,1279.0000000000002
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,7122
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,2840021
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,5812241
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,88.00000000000001
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,104459
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,11642.000000000002
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,87308
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,3125984
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,26354091
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,6558
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,11519
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,43343
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,15828744
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,49276
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,169999
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,26636
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,14360
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,30903
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,1108063
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,397140
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,427
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,14014512
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",2021,361
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,108.00000000000001
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,11774466
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,5187
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,1043304
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21210,"Hops",2021,4163
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,4053733
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,100946
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21213,"Cereal Straws",2021,10262
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21214,"Forage Crops",2021,122
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,2790
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,106954
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",2021,120496
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,14323423
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31502,"Bovine, Sheep, and Goat Fat",2021,33814
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish Oil",2021,2977
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31507,"Soybean Oil",2021,27928892.000000004
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",2021,205
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,4632.000000000001
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31510,"Olive Oil",2021,995
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,5724479.999999999
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,10000
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,1348801
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31514,"Rapeseed Oil",2021,10157876
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,197051992
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",2021,152752
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,162474.00000000003
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",2021,49104
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",2021,14947129.000000002
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,135957
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,993119.9999999999
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,150361
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,45353166
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,97334
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,202522
4,"Foodstuffs",417,"Sugars & confectioneries",41703,"Molasses",2021,524149
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,16036875
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41803,"Cocoa Paste",2021,1588
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41805,"Cocoa Powder",2021,3908
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,6590473
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,4117023
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,14481232
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41903,"Tapioca",2021,1341892
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,10626357
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,76490185
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",2021,1804524
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42002,"Processed Tomatoes",2021,29271
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42004,"Other Frozen Vegetables",2021,601150
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,1485512
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42006,"Sugar Preserved Foods",2021,96308.99999999999
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",2021,146544
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,6754833
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,5944160
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,23851
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",2021,9802
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,747126
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",2021,289361
4,"Foodstuffs",421,"Miscellaneous edible preparations",42105,"Ice Cream",2021,4726.999999999999
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,4970438
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,68144
