Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,2
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,1060196
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,381.99999999999994
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,122538103
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,6300799
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,8543099
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,67213.00000000001
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,67348.99999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,1881
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,407
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,3304
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,66224
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,30662
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,920
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,16648
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,226223
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,5005
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,93196
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,553
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21203,"Copra",2021,9036456.000000002
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,6616.000000000001
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,13507
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,20835761
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,2274142
