Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,147281
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,2033997
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,8513083
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,371914.99999999994
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,344967
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,3525536
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,2154866
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,928600
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,6
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,388120.99999999994
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,1471
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,94896
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,274386
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,301
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,1827
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,129.00000000000003
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,1046
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,34969
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,39
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,2280
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,145229
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,184435
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,326323
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,1586
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,1132
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,16677
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,1082
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,18035
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,2032015.0000000002
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,87372
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,171013
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,92788
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,66438
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,1740
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,4934
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,206133
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,13.999999999999998
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,142867568
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,112154
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,54976
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,766409
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,6264
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,14410
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,13736
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,370605
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,323520
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,201476
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,31078
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,290399
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,78066
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,1348.9999999999998
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,157
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,131
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,2472
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,95180
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,48161
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,2952
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,20
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,2070.9999999999995
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,709
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,38197
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,8722742
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,4211
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,2461942.9999999995
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,226477
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,2970.0000000000005
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,48127
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,92
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,443696.99999999994
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,1054
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",2021,15
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21205,"Rapeseed",2021,22.000000000000004
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,1922
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,73
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,29061
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,507208
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,30262215
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,50
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,115137
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,16350.999999999998
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31501,"Pig and Poultry Fat",2021,127
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31502,"Bovine, Sheep, and Goat Fat",2021,429
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31507,"Soybean Oil",2021,28407818
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",2021,498
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,2232692
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31510,"Olive Oil",2021,55624
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,809284.9999999999
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,641100
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,3813.9999999999995
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31514,"Rapeseed Oil",2021,43018
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,110297
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",2021,202230
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,895909
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",2021,428539.99999999994
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",2021,1370538
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,2635
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,101
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,289628
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,25495307
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,274688004
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,125704
4,"Foodstuffs",417,"Sugars & confectioneries",41703,"Molasses",2021,6083817
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,153523
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41801,"Cocoa Beans",2021,134
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41803,"Cocoa Paste",2021,115
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41804,"Cocoa Butter",2021,5159847
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41805,"Cocoa Powder",2021,13897
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,1181352
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,861935
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,7018352
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,553209
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,3665541
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",2021,32208
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42002,"Processed Tomatoes",2021,79850
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42003,"Processed Mushrooms",2021,96
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42004,"Other Frozen Vegetables",2021,9437.999999999998
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,655708
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42006,"Sugar Preserved Foods",2021,12434.999999999998
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",2021,235159
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,887971
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,228413
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,695
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",2021,39944
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,1551924
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",2021,139168
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,830116
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,24649.000000000004
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,14013102
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,136038
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,380001
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42206,"Other Fermented Beverages",2021,4744
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42209,"Vinegar",2021,133134
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42301,"Animal Meal and Pellets",2021,42020
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42306,"Other Vegetable Residues",2021,29244
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42308,"Other Vegetable Residues and Waste",2021,10500
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",2021,1100342
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,12728
4,"Foodstuffs",424,"Tobacco & substitutes",42403,"Processed Tobacco",2021,10945.000000000002
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52501,"Salt",2021,176279
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",2021,759
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52507,"Kaolin",2021,159803
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52508,"Clays",2021,12969.999999999998
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52510,"Calcium Phosphates",2021,147278129
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52513,"Pumice",2021,104.00000000000001
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52515,"Marble, Travertine and Alabaster",2021,602699
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52517,"Gravel and Crushed Stone",2021,1754.9999999999998
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52520,"Gypsum",2021,949480
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52521,"Limestone",2021,311
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52522,"Quicklime",2021,496
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52523,"Cement",2021,334242679
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52525,"Mica",2021,9413
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52529,"Feldspar",2021,115876
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52530,"Other Mineral",2021,9493
5,"Mineral Products",526,"Ores, slag and ash",52601,"Iron Ore",2021,990
5,"Mineral Products",526,"Ores, slag and ash",52603,"Copper Ore",2021,166
5,"Mineral Products",526,"Ores, slag and ash",52608,"Zinc Ore",2021,264023
5,"Mineral Products",526,"Ores, slag and ash",52617,"Other Ores",2021,128
5,"Mineral Products",526,"Ores, slag and ash",52618,"Granulated Slag",2021,1109944
5,"Mineral Products",526,"Ores, slag and ash",52620,"Non-Iron and Steel Slag, Ash and Residues",2021,4805473
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52709,"Crude Petroleum",2021,11768257890
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,6892738987
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2021,15120206438
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52712,"Petroleum Jelly",2021,44.00000000000001
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52713,"Petroleum Coke",2021,204475
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52714,"Bitumen and asphalt",2021,216.00000000000003
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52716,"Electricity",2021,54372094
6,"Chemical Products",628,"Inorganic chemicals",62801,"Halogens",2021,12870
6,"Chemical Products",628,"Inorganic chemicals",62803,"Carbon",2021,60
6,"Chemical Products",628,"Inorganic chemicals",62804,"Hydrogen",2021,167451807
6,"Chemical Products",628,"Inorganic chemicals",62809,"Phosphoric Acid",2021,122
6,"Chemical Products",628,"Inorganic chemicals",62814,"Ammonia",2021,771268614
6,"Chemical Products",628,"Inorganic chemicals",62817,"Zinc Oxide and Peroxide",2021,36.00000000000001
6,"Chemical Products",628,"Inorganic chemicals",62822,"Cobalt Oxides and Hydroxides",2021,25
6,"Chemical Products",628,"Inorganic chemicals",62827,"Chlorides",2021,46615
6,"Chemical Products",628,"Inorganic chemicals",62828,"Hypochlorites",2021,171608
6,"Chemical Products",628,"Inorganic chemicals",62833,"Sulfates",2021,221828.00000000003
6,"Chemical Products",628,"Inorganic chemicals",62835,"Phosphinates (hypophosphites) and phosphonates (phosphites)",2021,2467
6,"Chemical Products",628,"Inorganic chemicals",62836,"Carbonates",2021,2445
6,"Chemical Products",628,"Inorganic chemicals",62839,"Silicates",2021,206.00000000000003
6,"Chemical Products",628,"Inorganic chemicals",62840,"Borates",2021,372.00000000000006
6,"Chemical Products",628,"Inorganic chemicals",62844,"Radioactive Chemicals",2021,203198
6,"Chemical Products",628,"Inorganic chemicals",62851,"Inorganic Compounds",2021,11
6,"Chemical Products",629,"Organic chemicals",62901,"Acyclic Hydrocarbons",2021,633035
6,"Chemical Products",629,"Organic chemicals",62902,"Cyclic Hydrocarbons",2021,20610529
6,"Chemical Products",629,"Organic chemicals",62905,"Acyclic alcohol derivatives (halogenated, sulphonated, nitrated)",2021,38629030
6,"Chemical Products",629,"Organic chemicals",62910,"Epoxides",2021,1565
6,"Chemical Products",629,"Organic chemicals",62912,"Aldehydes, cyclic polymers, and paraformaldehyde",2021,4735
6,"Chemical Products",629,"Organic chemicals",62915,"Saturated Acyclic Monocarboxylic Acids",2021,121
6,"Chemical Products",629,"Organic chemicals",62917,"Polycarboxylic Acids",2021,88.00000000000001
6,"Chemical Products",629,"Organic chemicals",62921,"Amine Compounds",2021,3173
6,"Chemical Products",629,"Organic chemicals",62922,"Oxygen Amino Compounds",2021,34147
6,"Chemical Products",629,"Organic chemicals",62923,"Quaternary Ammonium Salts and Hydroxides",2021,51
6,"Chemical Products",629,"Organic chemicals",62924,"Carboxyamide Compounds",2021,712.0000000000001
6,"Chemical Products",629,"Organic chemicals",62932,"Oxygen Heterocyclic Compounds",2021,31
6,"Chemical Products",629,"Organic chemicals",62933,"Nitrogen Heterocyclic Compounds",2021,772384
6,"Chemical Products",629,"Organic chemicals",62934,"Nucleic Acids",2021,81
6,"Chemical Products",629,"Organic chemicals",62936,"Vitamins",2021,1597.9999999999998
6,"Chemical Products",629,"Organic chemicals",62940,"Chemically Pure Sugars",2021,126
6,"Chemical Products",629,"Organic chemicals",62941,"Antibiotics",2021,13
6,"Chemical Products",629,"Organic chemicals",62942,"Other Organic Compounds",2021,2
6,"Chemical Products",630,"Pharmaceutical products",63001,"Glands and Other Organs",2021,70
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,1472189
6,"Chemical Products",630,"Pharmaceutical products",63003,"Unpackaged Medicaments",2021,635623
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,1875811
6,"Chemical Products",630,"Pharmaceutical products",63005,"Bandages",2021,388
6,"Chemical Products",630,"Pharmaceutical products",63006,"Special Pharmaceuticals",2021,41927
