Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,14038
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,524
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,48143.99999999999
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,68010
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,265943
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,200
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,1126169
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,80
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,1900955
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,5831845
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,46295827
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,15503993
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,385937
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,316988
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,19438
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,164033
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,4109864
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,10746
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,10021
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,510977
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,347417
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,1442689
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,8932
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,5759.999999999999
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,619
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,67828
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,21343.000000000004
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,131599
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,1359
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,6741
