Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,49183.99999999999
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,49684.00000000001
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,1844
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,9002
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,100794
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,14717
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,34458
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,7778
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,19404
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,15520.999999999998
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,34071.99999999999
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,101334
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,1088934
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,8009
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,1328147
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,376386.99999999994
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,2543243
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,72028247
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,826169
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,129230.99999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,1202739
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,2677800
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,26998
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,16385
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,250
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,57800.99999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,158
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,16536
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,531
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,14331
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,27.999999999999996
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,6366.000000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,79
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,1280444
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,3074784
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,952.9999999999999
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,1242626
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,20574
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,53610
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,77375
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,14015131
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,46015
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,555430
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,9371
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,1599649
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,611
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,93
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,1562
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,78
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,103704
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,537672
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,61012
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,2710
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,185148
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,3335815
