Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,309519
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,14190298.000000002
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,6405324
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,28955
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,28726788.999999996
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,1316450
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,8148971
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,9595
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,519517.00000000006
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,2328153
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,3652508
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,913803
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,179838.00000000003
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,3243576.9999999995
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,50172709
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,12678199
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,832367
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,1952111
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,21984681
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,1209878
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,23143105
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,16964220
