Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,177510
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,134902
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,269363
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,564171
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,40054
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,6181
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,117149
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,5496
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,63396
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,1696141
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,35736
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,24576
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,6523
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,55
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,1761831
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,28992311
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,366108
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,251020
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,556
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,67827
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,1213287
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,2831967
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,52102
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,1420.9999999999998
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,29139.000000000004
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,93742
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,483324
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,307977
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,56002
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,201.99999999999997
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,5434
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,5787.999999999999
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,3151
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,790.9999999999999
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,988
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,7911438
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,261
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,75765.00000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,21603.000000000004
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,94222
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,38652
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,254
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,7109
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,3002
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,2159283
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,2802190
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,4924
