Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,1425910
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,33870437
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,3047952
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,843506
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,234729
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,242127
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,9858507
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,4482018
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,30603796
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,1285984
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,26932
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,3791194
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,17889964
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,2631332
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,1381284
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,1892364
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,1579405
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,11636967
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,49366941
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,50689651
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,8635723
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,35115608
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,1178295
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,105724408
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,22539621
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,17490702
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,19064328
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,3830237
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,79774031
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,1269398
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,315285
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,509934
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,12358.000000000002
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,1
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,179
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,320653
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,267412
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,52400
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,564
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,2830
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,4344874
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,192602
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,2012416
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,1205454
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,2429903
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,2916156
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,613662
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,502485
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,138376
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,1977018
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,79893
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,1313952
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,824055
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,1600319
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,4208851
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,498772
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,924421
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,27753076
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,100160
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,2298119
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,8895757
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,45033
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,229723
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,1058828
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,212054
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,267291
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,90539
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,523757
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,3484504
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,14176141
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,7402
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,3929383
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,7644
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,20146541
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,737057
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,6
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,4905401
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,603438
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,1650517
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,398371
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,975038
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,1117489
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,4412100
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,213964675
2,"Vegetable Products",210,"Cereals",21002,"Rye",2021,3360620
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,51739858
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,15471950
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,748611
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,547863
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",2021,4487
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,2769811
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,4277759
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,2513343
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,603554
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,3900427
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,8404
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,441375
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,1955056
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,104534
2,"Vegetable Products",211,"Products of the milling industry",21109,"Wheat Gluten",2021,53796.00000000001
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,60081
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,369858
