Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,1790896
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,1807560
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,26415850
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,26315
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,207730593
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,4220699
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,2893369
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,2188821
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,4277978
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,403459
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,908801
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,17485040
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,17636
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,51931
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,25393877
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,27051154
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,90199599
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,132592242
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,44226918
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,21136512
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,248605824
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,102865212
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,14050306
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,249693820
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,16522895
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,5200612
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,23067081
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,7658250
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,152371029
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,2382540
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,2684652
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,242372650.99999997
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,4931759
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,534
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,14315
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,5487262
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,43885
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,111361.00000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,18899
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,1506662
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,616035
