Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,878
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,8538
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,67980
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,20037619
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,744407
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,659188
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,4152985.9999999995
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,12871
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,57
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,78876
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,128
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,11568
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,128275.00000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,154423
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,10329
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,99
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,82631
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,27465.999999999996
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,8998
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,49893
