Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,421
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,29016
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,33653
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,25274
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,26787
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,29369
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,8632
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,9087
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,116317
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,5925
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,16152
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,246
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,4455393
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,2523986
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,1970802
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,3275332.9999999995
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,49984431
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,4563146
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,14201
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,21836
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,9103
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,409
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,33926
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,20008
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,18298
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,7131
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,6483
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,3963
