Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,42432
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,23948891
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,686
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,16133.999999999998
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,5111013
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,1309437
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,22319
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,11414
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,6783
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,188.99999999999997
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,71759
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,411166
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,221
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,163
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,162
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,94798
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,323
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,157519.99999999997
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,22996
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,912.9999999999999
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,2677
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,2008
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,19406629
