Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,2073628
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,1466158
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,305122
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,4298888
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,14029145
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,305483714
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,7517675
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,27012033
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,8369496
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,4547304
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,1785726
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,15059090
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,270897
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,54585402
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,121544853
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,34968031
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,5257925
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,94029103
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,119552782
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,5881931
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,1148432
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,3505027
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,76175
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,498411
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,81453.99999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,14740283
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,8926944
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,3890
