Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,330
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,14036463
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,6071156.000000001
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,523196
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,50601.00000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,640.9999999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,364
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,760
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,39658
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,96.99999999999999
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,285
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,27655
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,67835
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,46875
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42206,"Other Fermented Beverages",2021,68343
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42306,"Other Vegetable Residues",2021,9025
4,"Foodstuffs",424,"Tobacco & substitutes",42402,"Rolled Tobacco",2021,1943
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,7322
6,"Chemical Products",629,"Organic chemicals",62905,"Acyclic alcohol derivatives (halogenated, sulphonated, nitrated)",2021,80283
6,"Chemical Products",629,"Organic chemicals",62930,"Organo-Sulfur Compounds",2021,31061
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,24100
6,"Chemical Products",630,"Pharmaceutical products",63003,"Unpackaged Medicaments",2021,1571.9999999999998
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,29633.000000000004
6,"Chemical Products",630,"Pharmaceutical products",63006,"Special Pharmaceuticals",2021,33288.00000000001
6,"Chemical Products",633,"Perfumery & cosmetics",63301,"Essential Oils",2021,16249
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,13184
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,174
6,"Chemical Products",633,"Perfumery & cosmetics",63306,"Dental Products",2021,10
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63401,"Soap",2021,31
6,"Chemical Products",637,"Photo & movie goods",63707,"Photographic Chemicals",2021,90
6,"Chemical Products",638,"Chemical products n.e.s.",63814,"Organic Composite Solvents",2021,19
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,6723
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73913,"Natural Polymers",2021,4718.999999999999
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73916,"Monofilament",2021,46
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,511.00000000000006
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73918,"Plastic Floor Coverings",2021,273
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73919,"Self-adhesive Plastics",2021,33
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73921,"Other Plastic Sheetings",2021,2070.9999999999995
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73922,"Plastic Wash Basins",2021,5142
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,2068
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,691
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,6267
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74008,"Rubber Sheets",2021,54.00000000000001
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74010,"Rubber Belting",2021,6
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74011,"Rubber Tires",2021,3538.9999999999995
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,5562
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,2921
8,"Animal Hides",842,"Leather articles",84203,"Leather Apparel",2021,2751
8,"Animal Hides",842,"Leather articles",84205,"Other Leather Articles",2021,175
9,"Wood Products",944,"Wood, wood articles, & charcoal",94419,"Wood Kitchenware",2021,6334
9,"Wood Products",944,"Wood, wood articles, & charcoal",94421,"Other Wood Articles",2021,1
9,"Wood Products",945,"Cork & cork articles",94503,"Natural Cork Articles",2021,6.999999999999999
10,"Paper Goods",1048,"Paper articles",104801,"Newsprint",2021,1
10,"Paper Goods",1048,"Paper articles",104818,"Toilet Paper",2021,17096
10,"Paper Goods",1048,"Paper articles",104819,"Paper Containers",2021,22.000000000000004
10,"Paper Goods",1048,"Paper articles",104820,"Paper Notebooks",2021,11326
10,"Paper Goods",1048,"Paper articles",104821,"Paper Labels",2021,8
10,"Paper Goods",1049,"Books, newspapers, & other prints",104901,"Brochures",2021,11894
10,"Paper Goods",1049,"Books, newspapers, & other prints",104902,"Newspapers",2021,123.00000000000001
10,"Paper Goods",1049,"Books, newspapers, & other prints",104907,"Documents of title (bonds etc) and unused stamps",2021,5056.999999999999
10,"Paper Goods",1049,"Books, newspapers, & other prints",104911,"Other Printed Material",2021,22
11,"Textiles",1151,"Wool & animal hair",115112,"Combed Wool or Animal Hair Fabric",2021,299
11,"Textiles",1152,"Cotton",115204,"Cotton Sewing Thread",2021,39
11,"Textiles",1155,"Man-made staple fibres",115504,"Unprocessed Artificial Staple Fibers",2021,16930.999999999996
11,"Textiles",1155,"Man-made staple fibres",115513,"Light Synthetic Cotton Fabrics",2021,1432
11,"Textiles",1156,"Wadding, felt, nonwovens, twin, ropes, & articles thereof",115607,"Twine and Rope",2021,2377
11,"Textiles",1156,"Wadding, felt, nonwovens, twin, ropes, & articles thereof",115608,"Twine, cordage or rope; knotted netting, made up fishing nets and other made up nets, of textile materials",2021,20282
11,"Textiles",1158,"Special woven fabrics and tapestries",115807,"Labels",2021,402.99999999999994
11,"Textiles",1161,"Knitted clothing accesories",116103,"Knit Men's Suits",2021,1891
11,"Textiles",1161,"Knitted clothing accesories",116104,"Knit Women's Suits",2021,38468
11,"Textiles",1161,"Knitted clothing accesories",116105,"Knit Men's Shirts",2021,3174
11,"Textiles",1161,"Knitted clothing accesories",116106,"Knit Women's Shirts",2021,3293.9999999999995
11,"Textiles",1161,"Knitted clothing accesories",116108,"Knit Women's Undergarments",2021,64.00000000000001
