Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,15799859
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,10553297
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,1085754
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,1441716
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,10382059
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,15141554
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,495119999
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,191444208
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,290174895
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,37169643
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,10756065
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,130540339
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,422303818
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,10376033
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,65344057
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,1085881340
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,71574339
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,160473686
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,27734179
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,100250292
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,41987570
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,41318462
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,117047858
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,137377512
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,76432371
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,27730656
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,245295510
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,85242632
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,4296357892
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,35798086
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,60262244
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,30985067
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,2471083
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,3924641
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,82241
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,52230586
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,59053632
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,1570338
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,1283655
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,3041437
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,9548504
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,89847316
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,30207236
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,971018727
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,164541998
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,148950044
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,31806412
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,193776061
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,82261132
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,251135574
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,301718184
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,171683081
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,7937176
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,19434987
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,800074816
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,100742967
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,17202377
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,54474167
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,49583544
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,3068716
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,13770151
