Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,274420561
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,496256543.00000006
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,33109814
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,4304780
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,294918976
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,122282649
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,4386574472
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,4105295792
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,5966231497
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,14340727
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,671767
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,1984437112
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,4950448297
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,5295856
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,53745379
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,264607780
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,53452023
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,190550608
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,1733254778
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,1514434898
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,69495464
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,978576976
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,320675992
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,139869017
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,2098546229
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,100847662
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,813160512
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,208164771
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,1847705055
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,614438271
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,98773015
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,19725095
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,6426691
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,3234651
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,735376
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,687148871
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,76779298
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,37916685
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,2191640
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,2983265
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,24558306
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,533835855
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,11714224
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,359027358
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,13811449
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,103884146
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,284118036
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,111195460.00000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,224128127
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,484564367
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,527061657
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,133259999.00000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,26474060
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,68996425
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,564513647
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,258070982
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,6652614
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,216051769
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,1120054208
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,241376103
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,18813875
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,7985332946
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,29395780.999999996
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,153938278
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,945447222
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,939620909
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,177436614
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,933224800
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,781761809
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,1136899392
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,220072058
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,4615591
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,222571343
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,2600316
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",2021,695742382
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,75123931
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",2021,2298730
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,42988484
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",2021,11627405
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",2021,10141666
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",2021,641390
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,3837290
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,7120356
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,46464198
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2021,7184430263
2,"Vegetable Products",210,"Cereals",21002,"Rye",2021,5360361
2,"Vegetable Products",210,"Cereals",21003,"Barley",2021,80505780
2,"Vegetable Products",210,"Cereals",21004,"Oats",2021,14867428
2,"Vegetable Products",210,"Cereals",21005,"Corn",2021,19452933969
2,"Vegetable Products",210,"Cereals",21006,"Rice",2021,2054303269
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",2021,2178353328
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",2021,62102210
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",2021,150473870
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2021,90691341
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",2021,111539841
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",2021,89879091
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",2021,100560475
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",2021,109450811
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",2021,256706483.99999997
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",2021,137170972
2,"Vegetable Products",211,"Products of the milling industry",21109,"Wheat Gluten",2021,8460733
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",2021,28403453367
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",2021,470553567
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21203,"Copra",2021,15637
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",2021,15839924.999999998
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21205,"Rapeseed",2021,94125038
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",2021,216309642
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",2021,167543824
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",2021,402829479
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,977857840
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21210,"Hops",2021,265038249
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,157620930
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",2021,8714845
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21213,"Cereal Straws",2021,16204632
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21214,"Forage Crops",2021,1660516102
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",2021,27700910
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",2021,569194078
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",2021,1544853
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",2021,38221263
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31501,"Pig and Poultry Fat",2021,382563669
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31502,"Bovine, Sheep, and Goat Fat",2021,582444261
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31503,"Lard stearin and oils",2021,14542638
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish Oil",2021,167094735
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31505,"Wool Grease",2021,5563864
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31506,"Other Animal Fats",2021,16042944
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31507,"Soybean Oil",2021,844292590
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31508,"Ground Nut Oil",2021,25668175
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31509,"Pure Olive Oil",2021,20227934
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31510,"Olive Oil",2021,2604239
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,48603727
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,116162616
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31513,"Coconut Oil",2021,29557992
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31514,"Rapeseed Oil",2021,150126338
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,619658987
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31516,"Other Vegetable Oils",2021,96437341
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31517,"Margarine",2021,434173786
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31518,"Inedible Fats and Oils",2021,643301596
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31519,"Stearic Acid",2021,511702273
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31520,"Glycerol",2021,78107116
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31521,"Vegetable waxes and beeswax",2021,31301968
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31522,"Fat and Oil Residues",2021,4234470
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41601,"Sausages",2021,706158883
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41602,"Other Prepared Meat",2021,1371066990
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41603,"Animal Extracts",2021,16685320
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41604,"Processed Fish",2021,330616514
4,"Foodstuffs",416,"Preparations of fish, crustacenas, & molluscs",41605,"Processed Crustaceans",2021,340079758
4,"Foodstuffs",417,"Sugars & confectioneries",41701,"Raw Sugar",2021,93747243
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,1316416382
4,"Foodstuffs",417,"Sugars & confectioneries",41703,"Molasses",2021,34222950
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,581948035
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41801,"Cocoa Beans",2021,4305137
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41802,"Cocoa Shells",2021,1065789
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41803,"Cocoa Paste",2021,40080813
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41804,"Cocoa Butter",2021,80121863.00000001
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41805,"Cocoa Powder",2021,75552206
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,1559005220
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,1160599701
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41902,"Pasta",2021,403962980
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41903,"Tapioca",2021,1662756
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,729870933
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,2190711466
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",2021,111375785
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42002,"Processed Tomatoes",2021,429974628
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42003,"Processed Mushrooms",2021,3570996
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42004,"Other Frozen Vegetables",2021,1294886141
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,602646720
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42006,"Sugar Preserved Foods",2021,20625149
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42007,"Jams",2021,142734753
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,1802880944
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,703352059
4,"Foodstuffs",421,"Miscellaneous edible preparations",42101,"Coffee and Tea Extracts",2021,433359402
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",2021,156695659
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,1964919889
4,"Foodstuffs",421,"Miscellaneous edible preparations",42104,"Soups and Broths",2021,544956095
4,"Foodstuffs",421,"Miscellaneous edible preparations",42105,"Ice Cream",2021,267796379
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,8874960313
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42201,"Water",2021,180234920
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42202,"Flavored Water",2021,1340960629
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42203,"Beer",2021,483769758
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42204,"Wine",2021,1730004835
4,"Foodstuffs",422,"Beverages, spirits, & vinegar",42205,"Vermouth",2021,27752432
