Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,18270
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,286.00000000000006
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,277637
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,112505
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,659316
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,57382497
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,123.00000000000001
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,1738157
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,1833050
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,1398080.0000000002
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,794315
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,194253
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,44.00000000000001
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,10837
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,9083
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,55602
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,791
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,2165
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,200
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,1350
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,132
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,76
