Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,170026
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,400037
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,4492
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,69225
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,316908
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,18157944
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,169784
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,363
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,15953805
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,389743
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,15732
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,31111.999999999996
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,90662619
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,70338122
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,11942508
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,995297
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,34691457
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,239045
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,560148
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,9798423
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,1229
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,21680
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,2906.9999999999995
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,634628
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,6881885
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,94
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,2301422
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,1537437.0000000002
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,1646994
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,4090557
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,26584
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,70529
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,369961
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,3773.9999999999995
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,5747.999999999999
