Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,244317
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,301366
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,63481
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,9346
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,6353769
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,688335
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,23044443
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,2194847
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,111395957
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,330125
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,40221
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,26399587
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,16389705
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,2896177
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,3560184
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,7715117
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,2350769
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,105513402
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,20267010
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,7776800
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,8421543
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,201716
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,65456
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,30851813.000000004
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,149158448
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,49085188
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,70724448
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,135779527
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,60257992
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,13592380
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,4488362
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,140062
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,35665
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,146
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,174
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,1434347
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,211991
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,841947
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,21167
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,76
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,4749
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,7837051
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,517382
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,10199756
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,1543780
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,2588170
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,5473167
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,858903
