Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,419467
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,735
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,96041431
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,1711345.0000000002
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,1692046
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,160478
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,19049444
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,408
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,1340548
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,24438452
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,1400708.9999999998
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,45665
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10301,"Live Fish",2021,2816.9999999999995
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,1017.0000000000001
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,445212
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,13250
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,83120
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,25
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,501042
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,3118937
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,3509284
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,1249262
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,883158
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,46863412
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,53823912
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,4
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,327164
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,254431
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,1061
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",2021,167293
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,2399246
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,41482
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,857395.9999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,1399206
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,135442791
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,3292032
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,11610395
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,25985298
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,1232937
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",2021,7769862
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,3282191
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,61280923
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,471957
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,100028
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,215851
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,1359230
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,792259
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,455201
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,2652439
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",2021,520334
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,46311004
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,2453157
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,3551651
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",2021,34079877
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",2021,1479009
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",2021,86871365
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",2021,12549175
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",2021,185236
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",2021,1688.0000000000002
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,148204
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20814,"Citrus and Melon Peels",2021,16204.999999999998
