Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10101,"Horses",2021,23885278
1,"Animal Products",101,"Live animals",10102,"Bovine",2021,290691
1,"Animal Products",101,"Live animals",10103,"Pigs",2021,33277
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2021,41058
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,1316745
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,1549616
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",2021,812809157
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",2021,1982078251
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",2021,43322551
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",2021,22385176
1,"Animal Products",102,"Meat & edible offal",10205,"Horse Meat",2021,52365967
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",2021,200415305
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",2021,299814036
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",2021,4330052
1,"Animal Products",102,"Meat & edible offal",10209,"Animal Fat",2021,743671
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2021,873425.9999999999
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10302,"Non-fillet Fresh Fish",2021,3993562
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,193807545
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10304,"Fish Fillets",2021,253899195
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10305,"Dried/Salted/Smoked/Brined Fish",2021,8301187
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10306,"Crustaceans",2021,1243698928
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10307,"Molluscs",2021,243066216
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",2021,4387486
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",2021,536064086
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",2021,2687324
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",2021,94855271
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",2021,100799285
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",2021,316310540
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",2021,996156.9999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",2021,10396372
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,224413204
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",2021,34084
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",2021,14810
1,"Animal Products",105,"Animal originated products, n.e.s.",10502,"Pig Hair",2021,46174
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",2021,56284382
1,"Animal Products",105,"Animal originated products, n.e.s.",10505,"Bird Feathers and Skins",2021,7065102.000000001
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",2021,2141837
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",2021,617649
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",2021,162
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",2021,12140728
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",2021,41010047
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",2021,3356831
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,155002
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2021,3600
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",2021,7415951
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,1804997.0000000002
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",2021,188306370
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",2021,230761
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",2021,814460.0000000001
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",2021,170674
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",2021,661340
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",2021,6022003
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",2021,1763804
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,9159049
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,2896429
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,464996862
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",2021,3593031
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2021,28974
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,29679229
