Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value
1,"Animal Products",101,"Live animals",10105,"Poultry",2021,11321
1,"Animal Products",101,"Live animals",10106,"Other Animals",2021,1749
1,"Animal Products",103,"Fish, Crustaceans & Molluscs",10303,"Non-fillet Frozen Fish",2021,7553.999999999999
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",2021,6.999999999999999
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",2021,3136
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",2021,7683
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",2021,655.9999999999999
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",2021,204
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",2021,88.00000000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",2021,266
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",2021,586
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",2021,210
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",2021,90745.00000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",2021,19283
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",2021,159.00000000000003
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",2021,609
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",2021,35
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",2021,35
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",2021,543
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",2021,24170
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",2021,18701
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31511,"Palm Oil",2021,9357.000000000002
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31512,"Seed Oils",2021,24618.000000000004
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31515,"Other Pure Vegetable Oils",2021,6477
4,"Foodstuffs",417,"Sugars & confectioneries",41702,"Other Sugars",2021,433
4,"Foodstuffs",417,"Sugars & confectioneries",41704,"Confectionery Sugar",2021,1419
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41801,"Cocoa Beans",2021,1
4,"Foodstuffs",418,"Cocoa & cocoa preparations",41806,"Chocolate",2021,2685.9999999999995
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41901,"Malt Extract",2021,131
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41904,"Prepared Cereals",2021,2710.0000000000005
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk",41905,"Baked Goods",2021,11145
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42001,"Pickled Foods",2021,8519
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42005,"Other Processed Vegetables",2021,3311
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42008,"Other Processed Fruits and Nuts",2021,14065
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other plant parts",42009,"Fruit Juice",2021,175
4,"Foodstuffs",421,"Miscellaneous edible preparations",42102,"Yeast",2021,30894
4,"Foodstuffs",421,"Miscellaneous edible preparations",42103,"Sauces and Seasonings",2021,9854
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",2021,12996
4,"Foodstuffs",423,"Food residues & wastes; animal fodder",42309,"Animal Food",2021,456
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52504,"Graphite",2021,17255
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52505,"Sand",2021,220
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52508,"Clays",2021,2454
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52519,"Magnesium Carbonate",2021,1895
5,"Mineral Products",525,"Salt, sulphur, cement, lime, stone, & plaster",52529,"Feldspar",2021,72430
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52703,"Peat",2021,44.00000000000001
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",2021,63618
6,"Chemical Products",628,"Inorganic chemicals",62811,"Other Inorganic Acids",2021,940
6,"Chemical Products",628,"Inorganic chemicals",62827,"Chlorides",2021,51750
6,"Chemical Products",628,"Inorganic chemicals",62835,"Phosphinates (hypophosphites) and phosphonates (phosphites)",2021,846
6,"Chemical Products",628,"Inorganic chemicals",62836,"Carbonates",2021,23299
6,"Chemical Products",628,"Inorganic chemicals",62840,"Borates",2021,6556
6,"Chemical Products",628,"Inorganic chemicals",62844,"Radioactive Chemicals",2021,127
6,"Chemical Products",629,"Organic chemicals",62905,"Acyclic alcohol derivatives (halogenated, sulphonated, nitrated)",2021,6495
6,"Chemical Products",629,"Organic chemicals",62909,"Ethers",2021,790
6,"Chemical Products",629,"Organic chemicals",62915,"Saturated Acyclic Monocarboxylic Acids",2021,5412.999999999999
6,"Chemical Products",630,"Pharmaceutical products",63002,"Vaccines, blood, antisera, toxins and cultures",2021,40.99999999999999
6,"Chemical Products",630,"Pharmaceutical products",63004,"Packaged Medicaments",2021,222022
6,"Chemical Products",630,"Pharmaceutical products",63005,"Bandages",2021,209
6,"Chemical Products",630,"Pharmaceutical products",63006,"Special Pharmaceuticals",2021,12468
6,"Chemical Products",632,"Paints, dyes, & varnishes",63202,"Synthetic Tanning Extracts",2021,412.00000000000006
6,"Chemical Products",632,"Paints, dyes, & varnishes",63204,"Synthetic Coloring Matter",2021,311
6,"Chemical Products",632,"Paints, dyes, & varnishes",63206,"Other Coloring Matter",2021,2279
6,"Chemical Products",632,"Paints, dyes, & varnishes",63208,"Nonaqueous Paints",2021,243
6,"Chemical Products",632,"Paints, dyes, & varnishes",63210,"Other Paints",2021,37.00000000000001
6,"Chemical Products",632,"Paints, dyes, & varnishes",63214,"Glaziers Putty",2021,16165.999999999998
6,"Chemical Products",632,"Paints, dyes, & varnishes",63215,"Ink",2021,7042.000000000001
6,"Chemical Products",633,"Perfumery & cosmetics",63301,"Essential Oils",2021,104801
6,"Chemical Products",633,"Perfumery & cosmetics",63302,"Scented Mixtures",2021,15640.999999999998
6,"Chemical Products",633,"Perfumery & cosmetics",63303,"Perfumes",2021,397540.00000000006
6,"Chemical Products",633,"Perfumery & cosmetics",63304,"Beauty Products",2021,135
6,"Chemical Products",633,"Perfumery & cosmetics",63305,"Hair Products",2021,122
6,"Chemical Products",633,"Perfumery & cosmetics",63306,"Dental Products",2021,17
6,"Chemical Products",633,"Perfumery & cosmetics",63307,"Shaving Products",2021,8323
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63401,"Soap",2021,72477
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63402,"Cleaning Products",2021,851
6,"Chemical Products",634,"Soap, cleaners, candles, dental, modelling pastes",63405,"Polishes and Creams",2021,628
6,"Chemical Products",635,"Glues, starches, & albuminoid products",63506,"Glues",2021,10062
6,"Chemical Products",638,"Chemical products n.e.s.",63802,"Activated Carbon",2021,362.00000000000006
6,"Chemical Products",638,"Chemical products n.e.s.",63808,"Pesticides",2021,561
6,"Chemical Products",638,"Chemical products n.e.s.",63809,"Dyeing Finishing Agents",2021,1034
6,"Chemical Products",638,"Chemical products n.e.s.",63810,"Metal Pickling Preparations",2021,25234
6,"Chemical Products",638,"Chemical products n.e.s.",63812,"Prepared Rubber Accelerators",2021,31779
6,"Chemical Products",638,"Chemical products n.e.s.",63822,"Laboratory Reagents",2021,41008
6,"Chemical Products",638,"Chemical products n.e.s.",63823,"Industrial Fatty Acids, Oils and Alcohols",2021,175
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73902,"Propylene Polymers",2021,16177
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73906,"Acrylic Polymers",2021,9557
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73907,"Polyacetals",2021,1636.9999999999998
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73909,"Amino-resins",2021,408
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73916,"Monofilament",2021,4546
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73917,"Plastic Pipes",2021,53269
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73918,"Plastic Floor Coverings",2021,19579
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73919,"Self-adhesive Plastics",2021,3098
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73920,"Raw Plastic Sheeting",2021,19353
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73921,"Other Plastic Sheetings",2021,2424
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73922,"Plastic Wash Basins",2021,16903
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73923,"Plastic Lids",2021,77654
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73924,"Plastic Housewares",2021,10667
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73925,"Plastic Building Materials",2021,6599
7,"Plastics and Rubbers",739,"Plastics & articles thereof",73926,"Other Plastic Products",2021,44079.99999999999
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74002,"Synthetic Rubber",2021,213.00000000000003
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74006,"Unvulcanised Rubber Products",2021,975.0000000000001
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74008,"Rubber Sheets",2021,2427
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74009,"Rubber Pipes",2021,5304
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74010,"Rubber Belting",2021,7606
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74011,"Rubber Tires",2021,5565
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74015,"Rubber Apparel",2021,1626
7,"Plastics and Rubbers",740,"Rubber & articles thereof",74016,"Other Rubber Products",2021,94716
8,"Animal Hides",841,"Raw hides & skin (non-fur)",84105,"Tanned Sheep Hides",2021,8062.999999999999
8,"Animal Hides",842,"Leather articles",84202,"Trunks and Cases",2021,54482
8,"Animal Hides",842,"Leather articles",84203,"Leather Apparel",2021,7657
8,"Animal Hides",843,"Furskins, articifial fur, & articles",84301,"Raw Furskins",2021,1638.0000000000002
8,"Animal Hides",843,"Furskins, articifial fur, & articles",84302,"Tanned Furskins",2021,56640
8,"Animal Hides",843,"Furskins, articifial fur, & articles",84303,"Furskin Apparel",2021,1642
9,"Wood Products",944,"Wood, wood articles, & charcoal",94407,"Sawn Wood",2021,56092
9,"Wood Products",944,"Wood, wood articles, & charcoal",94409,"Shaped Wood",2021,29311
9,"Wood Products",944,"Wood, wood articles, & charcoal",94414,"Wood Frames",2021,171
9,"Wood Products",944,"Wood, wood articles, & charcoal",94418,"Wood Carpentry",2021,366801
9,"Wood Products",944,"Wood, wood articles, & charcoal",94419,"Wood Kitchenware",2021,487.00000000000006
9,"Wood Products",944,"Wood, wood articles, & charcoal",94421,"Other Wood Articles",2021,499
10,"Paper Goods",1048,"Paper articles",104804,"Kraft Paper",2021,138
10,"Paper Goods",1048,"Paper articles",104811,"Cellulose Fibers Paper",2021,51711.99999999999
10,"Paper Goods",1048,"Paper articles",104814,"Wallpaper",2021,23232
10,"Paper Goods",1048,"Paper articles",104818,"Toilet Paper",2021,2160
10,"Paper Goods",1048,"Paper articles",104819,"Paper Containers",2021,5154
10,"Paper Goods",1048,"Paper articles",104820,"Paper Notebooks",2021,6007
10,"Paper Goods",1048,"Paper articles",104821,"Paper Labels",2021,139
10,"Paper Goods",1048,"Paper articles",104823,"Shaped Paper",2021,119.00000000000001
10,"Paper Goods",1049,"Books, newspapers, & other prints",104901,"Brochures",2021,8371
10,"Paper Goods",1049,"Books, newspapers, & other prints",104904,"Sheet Music",2021,38
10,"Paper Goods",1049,"Books, newspapers, & other prints",104908,"Decals",2021,32
10,"Paper Goods",1049,"Books, newspapers, & other prints",104910,"Calendars",2021,309
10,"Paper Goods",1049,"Books, newspapers, & other prints",104911,"Other Printed Material",2021,30506
11,"Textiles",1151,"Wool & animal hair",115109,"Retail Wool or Animal Hair Yarn",2021,21
11,"Textiles",1152,"Cotton",115201,"Raw Cotton",2021,95141
11,"Textiles",1152,"Cotton",115205,"Non-Retail Pure Cotton Yarn",2021,500
11,"Textiles",1152,"Cotton",115207,"Retail Cotton Yarn",2021,226
